SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,player_name,player_id,season,minutes_last_7_days,minutes_last_28_days,acute_chronic_ratio,days_rest,is_back_to_back,back_to_back_count_month,injured_next_14_days
22021,1628389,0022100851,2022-02-12,MIA vs. BKN,W,37,8,12,0.667,0,0,0.0,3,5,0.6,2,12,14,4,1,0,5,3,19,22,1,Bam Adebayo,1628389,2021-22,223.0,937.0,0.951974386339381,2.0,0,4.0,0
22021,1628389,0022100868,2022-02-15,MIA vs. DAL,L,33,10,19,0.526,0,0,0.0,1,2,0.5,4,8,12,3,0,2,1,4,21,0,1,Bam Adebayo,1628389,2021-22,224.0,934.0,0.9593147751605997,3.0,0,4.0,0
22021,1628389,0022100885,2022-02-17,MIA @ CHA,W,44,5,12,0.417,0,1,0.0,5,10,0.5,5,8,13,5,0,3,3,2,15,19,1,Bam Adebayo,1628389,2021-22,233.0,945.0,0.9862433862433863,2.0,0,4.0,0
22021,1628389,0022100900,2022-02-25,MIA @ NYK,W,35,5,10,0.5,0,1,0.0,6,8,0.75,2,14,16,4,1,4,1,1,16,5,1,Bam Adebayo,1628389,2021-22,237.0,950.0,0.9978947368421052,8.0,0,4.0,0
22021,1628389,0022100908,2022-02-26,MIA vs. SAS,W,34,14,21,0.667,0,0,0.0,8,12,0.667,0,7,7,4,2,3,2,3,36,-3,1,Bam Adebayo,1628389,2021-22,243.0,948.0,1.0253164556962027,1.0,1,5.0,0
22021,1628389,0022100922,2022-02-28,MIA vs. CHI,W,29,6,8,0.75,0,0,0.0,3,4,0.75,1,6,7,5,2,2,2,4,15,20,1,Bam Adebayo,1628389,2021-22,248.0,946.0,1.0486257928118394,2.0,0,5.0,0
22021,1628389,0022100936,2022-03-02,MIA @ MIL,L,37,8,17,0.471,0,0,0.0,2,4,0.5,1,11,12,4,2,0,0,5,18,-3,1,Bam Adebayo,1628389,2021-22,249.0,949.0,1.0495258166491042,2.0,0,5.0,0
22021,1628389,0022100941,2022-03-03,MIA @ BKN,W,33,12,15,0.8,0,0,0.0,6,8,0.75,0,11,11,6,2,0,4,5,30,12,1,Bam Adebayo,1628389,2021-22,245.0,942.0,1.040339702760085,1.0,1,5.0,0
22021,1628389,0022100956,2022-03-05,MIA vs. PHI,W,31,3,10,0.3,0,0,0.0,0,0,0.0,2,8,10,2,1,0,1,4,6,6,1,Bam Adebayo,1628389,2021-22,243.0,936.0,1.0384615384615383,2.0,0,5.0,0
22021,1628389,0022100970,2022-03-07,MIA vs. HOU,W,30,8,15,0.533,0,0,0.0,2,2,1.0,3,7,10,1,0,1,2,4,18,11,1,Bam Adebayo,1628389,2021-22,229.0,936.0,0.9786324786324786,2.0,0,5.0,0
22021,1628389,0022100983,2022-03-09,MIA vs. PHX,L,30,7,11,0.636,0,0,0.0,3,3,1.0,0,6,6,5,1,1,4,1,17,-6,1,Bam Adebayo,1628389,2021-22,224.0,937.0,0.9562433297758804,2.0,0,5.0,0
22021,1628389,0022100998,2022-03-11,MIA vs. CLE,W,33,11,16,0.688,0,0,0.0,8,8,1.0,2,15,17,1,3,1,3,4,30,13,1,Bam Adebayo,1628389,2021-22,223.0,939.0,0.9499467518636848,2.0,0,5.0,0
22021,1628389,0022101005,2022-03-12,MIA vs. MIN,L,33,7,12,0.583,0,0,0.0,5,9,0.556,2,10,12,4,3,0,4,2,19,0,1,Bam Adebayo,1628389,2021-22,227.0,936.0,0.9700854700854701,1.0,1,5.0,0
22021,1628389,0022101031,2022-03-15,MIA vs. DET,W,24,4,8,0.5,0,0,0.0,8,10,0.8,0,8,8,3,0,0,2,4,16,25,1,Bam Adebayo,1628389,2021-22,214.0,927.0,0.923408845738943,3.0,0,5.0,0
